condition,feature,n_patients,spearman_rho,p
audio,peak_lat,27,0.4439016995696006,0.02036978307637255
picture,peak_lat,26,0.1980164274488848,0.3322064079731714
reading,peak_lat,27,0.38314761551571436,0.04852903907504215
