patient_id,condition,task,electrode,file_path,prop_above_pos,prop_below_neg,high_activity,sample_idx,cluster_hierarchical_raw,silhouette,contact_name,patient,name,hemi,x,y,z,is_wm,is_cortical,dist_to_pial_mm,yeo7_network,yeo17_network
EL030,audio,LM,A_L10,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L10_TN.npy,0.0969509043927648,0.0159948320413436,True,0,9,0.07792067,AL10,EL030,AL10,L,-54.41203689575195,-1.6914424896240234,-35.05707550048828,0.0,1.0,0.0,7Networks_7,17Networks_17
EL030,audio,LM,A_L11,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L11_TN.npy,0.1170801033591731,0.0187338501291989,True,1,9,0.08324855,AL11,EL030,AL11,L,-56.04169845581055,-1.9374158382415767,-34.19023513793945,0.0,1.0,0.0,7Networks_7,17Networks_17
EL030,audio,LM,A_L12,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L12_TN.npy,0.1331266149870801,0.0309819121447028,True,2,9,0.108097464,AL12,EL030,AL12,L,-59.7230339050293,-3.168854236602783,-30.53950881958008,0.0,1.0,0.0,7Networks_7,17Networks_17
EL030,audio,LM,A_L13,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L13_TN.npy,0.1636434108527131,0.0608527131782945,True,3,9,0.112071835,AL13,EL030,AL13,L,-60.08465576171875,-3.803679943084717,-30.15506362915039,0.0,1.0,0.0,7Networks_7,17Networks_17
EL030,audio,LM,A_L14,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L14_TN.npy,0.1555038759689922,0.0640310077519379,True,4,9,0.115785025,AL14,EL030,AL14,L,-60.08465576171875,-3.803679943084717,-30.15506362915039,0.0,1.0,0.0,7Networks_7,17Networks_17
EL030,audio,LM,A_L15,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L15_TN.npy,0.1565374677002584,0.0564082687338501,True,5,9,0.11828579,AL15,EL030,AL15,L,-60.694427490234375,-3.3637280464172363,-29.1143741607666,0.0,1.0,0.0,7Networks_7,17Networks_17
EL030,audio,LM,A_L2,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L2_TN.npy,0.0236175710594315,0.0034625322997416,True,6,9,-0.10332167,AL2,EL030,AL2,L,-25.317325592041016,-4.529516220092773,-21.213720321655277,0.0,1.0,0.0,FreeSurfer_Defined_Medial_Wall,FreeSurfer_Defined_Medial_Wall
EL030,audio,LM,A_L3,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L3_TN.npy,0.0390697674418604,0.0041085271317829,True,7,9,-0.042540684,AL3,EL030,AL3,L,-26.15047645568848,-3.044088125228882,-21.01518821716309,0.0,1.0,0.0,FreeSurfer_Defined_Medial_Wall,FreeSurfer_Defined_Medial_Wall
EL030,audio,LM,A_L4,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L4_TN.npy,0.047829457364341,0.0050645994832041,True,8,9,-0.041474856,AL4,EL030,AL4,L,-32.91841506958008,3.3941473960876465,-22.62943649291992,0.0,1.0,0.0,7Networks_5,17Networks_9
EL030,audio,LM,A_L5,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L5_TN.npy,0.0450387596899224,0.0074418604651162,True,9,9,-0.024927458,AL5,EL030,AL5,L,-34.84610366821289,-11.320873260498049,-21.40219116210937,0.0,1.0,0.0,FreeSurfer_Defined_Medial_Wall,FreeSurfer_Defined_Medial_Wall
